Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
37,Tevin Coleman,ATL,RB,118,9.1,520,4.4,40.0,8,55T,24,20.3,5,1,1
38,Chris Ivory,JAX,RB,117,10.6,439,3.8,39.9,3,42,21,17.9,2,2,5
39,Thomas Rawls,SEA,RB,109,12.1,349,3.2,38.8,3,45T,21,19.3,1,1,0
40,Justin Forsett,DEN,RB,43,10.8,155,3.6,38.8,1,64,6,14.0,1,1,2
41,Mike Gillislee,BUF,RB,101,6.7,577,5.7,38.5,8,44T,39,38.6,7,1,0
42,Devontae Booker,DEN,RB,174,10.9,612,3.5,38.2,4,18,30,17.2,0,0,2
43,DeAngelo Williams,PIT,RB,98,10.9,343,3.5,38.1,4,17,20,20.4,0,0,0
44,Jerick McKinnon,MIN,RB,159,10.6,539,3.4,35.9,2,36,21,13.2,2,0,0
45,Theo Riddick,DET,RB,92,9.2,357,3.9,35.7,1,42,19,20.7,2,1,0
46,Tim Hightower,NO,RB,133,8.3,548,4.1,34.2,4,30,32,24.1,4,0,0
47,Giovani Bernard,CIN,RB,91,9.1,337,3.7,33.7,2,17,15,16.5,0,0,0
48,DeAndre Washington,OAK,RB,87,6.2,467,5.4,33.4,2,30,19,21.8,7,0,1
49,Derrick Henry,TEN,RB,110,7.3,490,4.5,32.7,5,22,29,26.4,1,0,0
50,Paul Perkins,NYG,RB,112,8.0,456,4.1,32.6,0,22,22,19.6,2,0,1
51,Kenneth Dixon,BAL,RB,88,7.3,382,4.3,31.8,2,20,26,29.5,1,0,1
52,Shane Vereen,NYG,RB,33,6.6,158,4.8,31.6,1,25,8,24.2,1,0,1
53,T.J. Yeldon,JAX,RB,130,8.7,465,3.6,31.0,1,16,21,16.2,0,0,2
54,Jalen Richard,OAK,RB,83,5.2,491,5.9,30.7,1,75T,14,16.9,5,1,0
55,Ty Montgomery,GB,RB,77,5.1,457,5.9,30.5,3,61,20,26.0,5,1,1
56,Terron Ward,ATL,RB,31,6.2,151,4.9,30.2,0,45,6,19.4,2,1,0
57,Alfred Blue,HOU,RB,100,7.1,420,4.2,30.0,1,25,23,23.0,2,0,2
58,Darren Sproles,PHI,RB,94,6.3,438,4.7,29.2,2,25T,22,23.4,1,0,0
59,Darren McFadden,DAL,RB,24,8.0,87,3.6,29.0,0,24,5,20.8,1,0,0
60,C.J. Prosise,SEA,RB,30,5.0,172,5.7,28.7,1,72T,3,10.0,1,1,0
61,Terrell Watson,PHI,RB,9,9.0,28,3.1,28.0,1,8,2,22.2,0,0,0
62,Ronnie Hillman,SD,RB,23,7.7,81,3.5,27.0,0,17,3,13.0,0,0,0
63,Matt Asiata,MIN,RB,121,7.6,402,3.3,25.1,6,29,27,22.3,2,0,1
64,Adrian Peterson,MIN,RB,37,12.3,72,1.9,24.0,0,13,3,8.1,0,0,1
64,Wendell Smallwood,PHI,RB,77,5.9,312,4.1,24.0,1,19,20,26.0,0,0,1
66,Zach Zenner,DET,FB,88,6.3,334,3.8,23.9,4,20,22,25.0,1,0,1
67,Chris Johnson,ARI,RB,25,6.2,95,3.8,23.8,1,18,5,20.0,0,0,0
68,Duke Johnson,CLE,RB,73,4.6,358,4.9,22.4,1,22,17,23.3,2,0,1
69,Chris Thompson,WAS,RB,68,4.2,356,5.2,22.2,3,25T,16,23.5,2,0,1
70,Dwayne Washington,DET,RB,90,7.5,265,2.9,22.1,1,28,11,12.2,1,0,0
71,Khiry Robinson,NYJ,RB,8,8.0,22,2.8,22.0,0,10,1,12.5,0,0,1
72,Rex Burkhead,CIN,RB,74,4.6,344,4.6,21.5,2,17,23,31.1,0,0,0
73,Charles Sims,TB,RB,51,7.3,149,2.9,21.3,1,23,6,11.8,1,0,1
74,Charcandrick West,KC,RB,88,5.9,293,3.3,19.5,1,28,14,15.9,2,0,0
75,Christine Michael,GB,RB,31,5.2,114,3.7,19.0,1,42T,5,16.1,1,1,0
76,Alfred Morris,DAL,RB,69,4.9,243,3.5,17.4,2,17,15,21.7,0,0,0
77,Jeremy Langford,CHI,RB,62,5.2,200,3.2,16.7,4,23,12,19.4,1,0,2
78,Fozzy Whittaker,CAR,RB,57,3.6,265,4.6,16.6,0,25,10,17.5,1,0,1
79,James Starks,GB,RB,63,7.0,145,2.3,16.1,0,11,9,14.3,0,0,0
80,Kerwynn Williams,ARI,RB,18,1.8,157,8.7,15.7,2,49T,8,44.4,3,1,0
81,Antone Smith,TB,RB,10,3.3,47,4.7,15.7,0,8,1,10.0,0,0,2
82,Corey Grant,JAX,RB,32,2.9,164,5.1,14.9,1,57T,6,18.8,1,1,0
83,Peyton Barber,TB,RB,55,3.7,223,4.1,14.9,1,44T,10,18.2,1,1,0
84,Kenneth Farrow,SD,RB,60,4.6,192,3.2,14.8,0,11,10,16.7,0,0,1
85,Troymaine Pope,SEA,RB,11,3.7,43,3.9,14.3,0,18,3,27.3,0,0,0
86,DuJuan Harris,SF,RB,38,3.8,138,3.6,13.8,0,19,6,15.8,0,0,1
87,Arian Foster,MIA,RB,22,5.5,55,2.5,13.8,0,9,2,9.1,0,0,1
88,Akeem Hunt,HOU,RB,20,2.5,109,5.5,13.6,0,19,4,20.0,0,0,2
89,Jamaal Charles,KC,RB,12,4.0,40,3.3,13.3,1,17,3,25.0,0,0,0
90,Shaun Draughn,SF,RB,74,4.6,196,2.6,12.2,4,18,15,20.3,0,0,0
91,Alex Collins,SEA,RB,31,2.8,125,4.0,11.4,1,26,8,25.8,1,0,2
92,Kenyan Drake,MIA,RB,33,2.1,179,5.4,11.2,2,45T,9,27.3,1,1,0
93,Orleans Darkwa,NYG,RB,30,3.0,111,3.7,11.1,2,17,7,23.3,0,0,0
94,Denard Robinson,JAX,RB,41,3.2,144,3.5,11.1,0,9,4,9.8,0,0,0
95,Robert Turbin,IND,RB,47,3.1,164,3.5,10.9,7,18,20,42.6,0,0,0
96,Kapri Bibbs,DEN,RB,29,2.4,129,4.4,10.8,0,24,7,24.1,1,0,0
97,Don Jackson,GB,RB,10,3.3,32,3.2,10.7,0,7,1,10.0,0,0,0
98,Ka'Deem Carey,CHI,RB,32,2.7,126,3.9,10.5,0,24,4,12.5,1,0,0
98,Jonathan Grimes,HOU,RB,23,2.3,105,4.6,10.5,0,14,5,21.7,0,0,0
100,James White,NE,RB,39,2.4,166,4.3,10.4,0,16,8,20.5,0,0,0
101,Kenjon Barner,PHI,RB,27,2.1,129,4.8,9.9,2,19,9,33.3,0,0,0
102,Aaron Ripkowski,GB,FB,34,2.1,150,4.4,9.4,2,15,10,29.4,0,0,0
103,Benny Cunningham,LA,RB,21,1.9,101,4.8,9.2,0,24,4,19.0,2,0,1
104,Mack Brown,WAS,RB,8,0.9,82,10.3,9.1,1,61T,1,12.5,1,1,0
105,Jonathan Williams,BUF,RB,27,2.5,94,3.5,8.5,1,20,6,22.2,1,0,2
106,D.J. Foster,NE,RB,7,2.3,24,3.4,8.0,0,7,0,0.0,0,0,0
107,Damien Williams,MIA,RB,35,2.3,115,3.3,7.7,3,23,8,22.9,1,0,0
108,Isaiah Pead,MIA,RB,8,2.7,22,2.8,7.3,0,4,0,0.0,0,0,0
109,Mike Tolbert,CAR,FB,35,2.2,114,3.3,7.1,0,14,5,14.3,0,0,0
110,Joe Banyard,JAX,RB,2,2.0,7,3.5,7.0,0,7,0,0.0,0,0,0
